district,2017_1_rmse,2017_1performance,2018_1_rmse,2018_1performance,2019_1_rmse,2019_1performance,2022_1_rmse,2022_1performance
BAGALKOTE,6.38,Bad,3.27,Bad,7.45,Bad,6.3,Bad
BALLARI,10.46,Bad,3.34,Bad,4.17,Bad,3.02,Bad
BELAGAVI,1.5,Good,1.41,Good,2.36,Bad,7.39,Bad
BENGALURU RURAL,0.54,Good,0.55,Good,1.31,Good,2.99,Bad
BENGALURU URBAN,1.09,Good,1.08,Good,3.96,Bad,1.9,Good
BIDAR,6.13,Bad,3.78,Bad,11.35,Bad,3.37,Bad
CHAMARAJANAGARA,2.28,Bad,2.13,Bad,11.09,Bad,6.08,Bad
CHIKKABALLAPURA,1.97,Good,1.9,Good,6.28,Bad,8.04,Bad
CHIKKAMAGALURU,6.91,Bad,2.21,Bad,5.15,Bad,3.96,Bad
CHITRADURGA,9.59,Bad,4.9,Bad,7.65,Bad,5.22,Bad
DAKSHINA KANNADA,3.41,Bad,14.62,Bad,48.98,Bad,7.42,Bad
DAVANGERE,20.7,Bad,2.68,Bad,3.3,Bad,3.52,Bad
DHARWAD,1.89,Good,2.4,Bad,1.9,Good,6.51,Bad
GADAG,3.72,Bad,2.07,Bad,4.18,Bad,2.47,Bad
HASSAN,2.94,Bad,8.68,Bad,8.19,Bad,7.15,Bad
HAVERI,8.91,Bad,4.18,Bad,8.99,Bad,3.76,Bad
KALABURAGI,29.57,Bad,18.71,Bad,7.06,Bad,7.93,Bad
KODAGU,8.82,Bad,1.54,Good,1.66,Good,1.15,Good
KOLAR,8.06,Bad,3.36,Bad,4.97,Bad,4.74,Bad
KOPPAL,3.9,Bad,2.59,Bad,6.43,Bad,2.57,Bad
MANDYA,1.56,Good,1.38,Good,1.84,Good,7.91,Bad
MYSURU,25.37,Bad,5.41,Bad,4.37,Bad,13.65,Bad
RAICHUR,3.38,Bad,1.79,Good,1.42,Good,1.78,Good
RAMANAGARA,8.46,Bad,1.19,Good,1.89,Good,4.06,Bad
SHIVAMOGGA,10.68,Bad,3.91,Bad,10.79,Bad,6.02,Bad
TUMAKURU,15.72,Bad,3.54,Bad,3.59,Bad,2.09,Bad
UDUPI,4.0,Bad,4.17,Bad,4.46,Bad,11.47,Bad
UTTARA KANNADA,1.16,Good,2.16,Bad,1.34,Good,1.42,Good
VIJAYANAGAR,0.0,Good,0.0,Good,0.0,Good,1.99,Good
VIJAYAPURA,5.83,Bad,5.67,Bad,12.18,Bad,7.47,Bad
YADGIR,2.0,Bad,1.81,Good,5.23,Bad,2.46,Bad
